codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201211159478138,ACIDENTE,FALHA DO MOTOR EM VOO,ABADIA DE GOIÁS,GO,NaN,AVIÃO,PISTÃO,1.0,BRASIL,EXPERIMENTAL,MANOBRA,VOO EXPERIMENTAL,NaN,0,2012-11-15 12:40:00
201004028193780,INCIDENTE,OUTROS,BRASÍLIA,DF,SBBR,AVIÃO,TURBOÉLICE,1.0,BRASIL,PARTICULAR,TÁXI,OPERAÇÃO POLICIAL,NaN,0,2010-04-02 18:15:00
201401273279512,INCIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2014-01-27 01:00:00
200812191682387,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2008-12-19 12:50:00
201403288335660,ACIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,POUSO,VOO REGULAR,NaN,0,2014-03-28 20:42:00
201302132032329,INCIDENTE,OUTROS,BRASÍLIA,DF,NaN,HELICÓPTERO,TURBOEIXO,2.0,BRASIL,ADMINISTRAÇÃO DIRETA,OUTRA FASE,OPERAÇÃO POLICIAL,NaN,0,2013-02-13 17:20:00
200902212026791,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,APROXIMAÇÃO FINAL,VOO REGULAR,NaN,0,2009-02-21 21:30:00
200903133820094,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,TÁXI,VOO REGULAR,NaN,0,2009-03-13 12:10:00
200902095199284,INCIDENTE,COM PARA-BRISAS / JANELA / PORTA,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2009-02-09 15:48:00
201105167612999,ACIDENTE,PERDA DE CONTROLE NO SOLO,BRASÍLIA,DF,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,POUSO,VOO EXPERIMENTAL,NaN,0,2011-05-16 12:00:00
201304303550348,INCIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,DECOLAGEM,VOO REGULAR,NaN,0,2013-04-30 21:00:00
201201162339301,INCIDENTE,SOPRO DE REATOR,BRASÍLIA,DF,SBBR,AVIÃO,PISTÃO,3.0,BRASIL,PARTICULAR,TÁXI,VOO PRIVADO,NaN,0,2012-01-16 16:47:00
201009154428874,INCIDENTE,COM COMANDOS DE VOO,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,DESCIDA,VOO REGULAR,NaN,0,2010-09-15 13:09:00
200908249821293,INCIDENTE,ESTOURO DE PNEU,BRASÍLIA,DF,SBBR,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,0,2009-08-24 11:00:00
201401113235090,INCIDENTE,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,BRASÍLIA,DF,NaN,AVIÃO,TURBOEIXO,2.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2014-01-11 19:18:00
201208016781087,INCIDENTE,FALHA DO MOTOR EM VOO,BRASÍLIA,DF,NaN,AVIÃO,JATO,3.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2012-08-01 10:33:00
201504084922109,INCIDENTE GRAVE,POUSO ANTES DA PISTA,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,POUSO,VOO REGULAR,NaN,0,2015-04-08 16:04:00
201211187960040,INCIDENTE,OUTROS,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,TÁXI,VOO REGULAR,NaN,0,2012-11-18 22:41:00
200803068134999,INCIDENTE,VAZAMENTO DE OUTROS FLUIDOS,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2008-03-06 08:56:00
200903199901372,INCIDENTE,FUMAÇA NA CABINE,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2009-03-19 13:44:00
200911035801074,INCIDENTE,ESTOURO DE PNEU,BRASÍLIA,DF,NaN,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,TÁXI,TÁXI AÉREO,NaN,0,2009-11-03 16:55:00
201401145307951,INCIDENTE,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,TÁXI AÉREO,SUBIDA,TÁXI AÉREO,NaN,0,2014-01-14 17:48:00
200801048139183,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,BRASÍLIA,DF,NaN,AVIÃO,JATO,2.0,BRASIL,REGULAR,DESCIDA,VOO REGULAR,NaN,0,2008-01-04 21:00:00
201107201724597,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,BRASÍLIA,DF,NaN,AVIÃO,JATO,2.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,NaN,0,2011-07-20 20:00:00
201304185086936,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,POUSO,VOO REGULAR,NaN,0,2013-04-18 16:54:00
200804092525235,INCIDENTE,OUTROS,BRASÍLIA,DF,SBBR,AVIÃO,JATO,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2008-04-09 11:35:00
201009017188535,INCIDENTE,ESTOURO DE PNEU,BRASÍLIA,DF,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,VOO PRIVADO,NaN,0,2010-09-01 20:10:00
