codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201012113981199,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,ÁGUA BRANCA,AL,NaN,AVIÃO,PISTÃO,2.0,BRASIL,ESPECIALIZADA,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO ESPECIALIZADA,NaN,2,2010-12-11 11:00:00
200903207404883,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,ÁGUA BRANCA,PI,NaN,AVIÃO,PISTÃO,1.0,BRASIL,TÁXI AÉREO,DESCIDA,TÁXI AÉREO,NaN,4,2009-03-20 19:55:00
201502161306401,INCIDENTE,FALHA DO MOTOR EM VOO,ALCÂNTARA,MA,SNCW,AVIÃO,PISTÃO,1.0,BRASIL,EXPERIMENTAL,SUBIDA,VOO PRIVADO,NaN,0,2015-02-16 20:38:00
201205251709274,ACIDENTE,FALHA DO MOTOR EM VOO,ALCÂNTARA,MA,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,SUBIDA,VOO PRIVADO,NaN,0,2012-05-25 20:45:00
201012101516635,INCIDENTE,OUTROS,ARACAJU,SE,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,TÁXI,VOO EXPERIMENTAL,NaN,0,2010-12-10 20:25:00
201405144597530,INCIDENTE,TRÁFEGO AÉREO,ARACAJU,SE,SBAR,AVIÃO,JATO,2.0,BRASIL,REGULAR,DECOLAGEM,VOO REGULAR,NaN,0,2014-05-14 15:34:00
201508017959707,ACIDENTE,POUSO BRUSCO,ARACAJU,SE,SNJD,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,3,2015-08-01 12:50:00
200905187952770,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,ARACAJU,SE,NaN,HELICÓPTERO,TURBOEIXO,2.0,BRASIL,TÁXI AÉREO,PARTIDA DO MOTOR,TÁXI AÉREO,NaN,0,2009-05-18 13:10:00
201012221302263,INCIDENTE,PERDA DE CONTROLE NO SOLO,ARACAJU,SE,SNAU,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,CORRIDA APÓS POUSO,VOO EXPERIMENTAL,NaN,0,2010-12-22 11:35:00
201701182127495,INCIDENTE,SUPERAQUECIMENTO,ARACAJU,SE,SBAR,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,DESCIDA,VOO REGULAR,NaN,0,2017-01-18 11:43:00
201407044846366,ACIDENTE,PERDA DE CONTROLE EM VOO,ARACAJU,SE,SNAU,AVIÃO,PISTÃO,1.0,BRASIL,EXPERIMENTAL,POUSO,VOO PRIVADO,NaN,0,2014-07-04 18:52:00
201103186943997,ACIDENTE,PERDA DE CONTROLE NO SOLO,ARACAJU,SE,SNAU,HELICÓPTERO,PISTÃO,1.0,BRASIL,PARTICULAR,TÁXI,VOO PRIVADO,NaN,8,2011-03-18 20:00:00
201505176792081,ACIDENTE,PERDA DE CONTROLE NO SOLO,ARACAJU,SE,SBAR,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,2,2015-05-17 17:40:00
201412014691442,INCIDENTE,FALHA DO MOTOR EM VOO,ARACAJU,SE,SBAR,AVIÃO,JATO,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2014-12-01 20:35:00
201012214435297,ACIDENTE,PERDA DE CONTROLE EM VOO,ARACAJU,SE,NaN,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,PARTICULAR,TÁXI,VOO PRIVADO,1.0,15,2010-12-21 13:03:00
200904281170676,INCIDENTE,COM PARA-BRISAS / JANELA / PORTA,ARACAJU,SE,SBAR,AVIÃO,JATO,2.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2009-04-28 15:46:00
201301126311437,INCIDENTE,PANE SECA,ARACAJU,SE,NaN,HELICÓPTERO,TURBOEIXO,2.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2013-01-12 20:00:00
201006245014587,INCIDENTE,COLISÃO COM AERONAVE NO SOLO,ARACAJU,SE,SBAR,AVIÃO,JATO,2.0,BRASIL,REGULAR,TÁXI,VOO REGULAR,NaN,0,2010-06-24 03:36:00
201104136824816,INCIDENTE,POUSO BRUSCO,ARACAJU,SE,SBAR,AVIÃO,JATO,2.0,BRASIL,REGULAR,POUSO,VOO REGULAR,NaN,0,2011-04-13 15:33:00
201312198027153,INCIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,ARACAJU,SE,NaN,AVIÃO,JATO,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2013-12-19 19:00:00
201006245014587,INCIDENTE,COLISÃO COM AERONAVE NO SOLO,ARACAJU,SE,SBAR,AVIÃO,JATO,2.0,BRASIL,REGULAR,OPERAÇÃO DE SOLO,VOO REGULAR,NaN,0,2010-06-24 03:36:00
201012033705241,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,ALAGOINHAS,BA,NaN,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,NaN,0,2010-12-03 23:25:00
201405039315936,ACIDENTE,PERDA DE CONTROLE EM VOO,AQUIRAZ,CE,NaN,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,PARTICULAR,NAVEGAÇÃO A BAIXA ALTURA,VOO PRIVADO,NaN,0,2014-05-03 15:30:00
201112292504143,ACIDENTE,COM ROTOR,AQUIRAZ,CE,NaN,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,PARTICULAR,APROXIMAÇÃO FINAL,VOO PRIVADO,NaN,3,2011-12-29 12:00:00
201006136161050,ACIDENTE,PERDA DE CONTROLE EM VOO,AQUIRAZ,CE,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,POUSO,VOO EXPERIMENTAL,1.0,0,2010-06-13 12:50:00
201801161138317,ACIDENTE,PERDA DE CONTROLE EM VOO,AQUIRAZ,CE,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,SUBIDA,VOO EXPERIMENTAL,NaN,0,2018-01-15 12:43:00
