codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201305055424986,ACIDENTE,FALHA DO MOTOR EM VOO,ARIQUEMES,RO,SJOG,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,CIRCUITO DE TRÁFEGO,VOO EXPERIMENTAL,NaN,0,2013-05-05 11:00:00
201805021421302,INCIDENTE,AERÓDROMO,CACOAL,RO,SSKW,AVIÃO,JATO,2.0,BRASIL,REGULAR,TÁXI,VOO REGULAR,NaN,0,2018-03-09 22:40:00
201311259977425,INCIDENTE GRAVE,POUSO SEM TREM,CACOAL,RO,SSKW,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,NaN,2,2013-11-25 12:32:00
201605160250139,INCIDENTE GRAVE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CACOAL,RO,SSKW,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,ADMINISTRAÇÃO INDIRETA,APROXIMAÇÃO FINAL,OPERAÇÃO ESPECIALIZADA,NaN,0,2016-05-13 19:19:00
201103187273112,INCIDENTE,OUTROS,CEREJEIRAS,RO,NaN,AVIÃO,PISTÃO,1.0,BRASIL,ESPECIALIZADA,TÁXI,OPERAÇÃO ESPECIALIZADA,NaN,0,2011-03-18 13:30:00
200808073991179,ACIDENTE,PERDA DE CONTROLE NO SOLO,CEREJEIRAS,RO,NaN,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,4,2008-08-07 15:10:00
201604251335501,INCIDENTE GRAVE,TRÁFEGO AÉREO,AMAJARI,RR,NaN,AVIÃO,JATO,2.0,BRASIL,NaN,CRUZEIRO,VOO REGULAR,NaN,0,2016-02-24 05:48:00
201108118145873,ACIDENTE,POUSO LONGO,AMAJARI,RR,NaN,AVIÃO,PISTÃO,1.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,4,2011-08-11 17:00:00
201604062021424,ACIDENTE,PERDA DE CONTROLE NO SOLO,AMAJARI,RR,SWAQ,AVIÃO,PISTÃO,1.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,8,2016-04-05 16:05:00
200902274965349,INCIDENTE,PERDA DE CONTROLE NO SOLO,AMAJARI,RR,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,VOO PRIVADO,NaN,0,2009-02-27 16:30:00
201009213278405,ACIDENTE,PERDA DE CONTROLE EM VOO,ALTO ALEGRE,RR,NaN,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,NaN,7,2010-09-21 17:10:00
201104061447671,ACIDENTE,PERDA DE CONTROLE EM VOO,ALTO ALEGRE,RR,NaN,HELICÓPTERO,TURBOEIXO,2.0,BRASIL,TÁXI AÉREO,DESCIDA,TÁXI AÉREO,3.0,4,2011-04-06 20:25:00
