codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
200912289948837,ACIDENTE,PERDA DE CONTROLE EM VOO,ACEGUÁ,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,ESPECIALIZADA,DECOLAGEM,OPERAÇÃO ESPECIALIZADA,1.0,1,2009-12-28 17:30:00
201803091904444,ACIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,AGUDO,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,MANOBRA,OPERAÇÃO AGRÍCOLA,NaN,0,2018-03-06 21:30:00
201211061877321,ACIDENTE,INDETERMINADO,ALMIRANTE TAMANDARÉ,PR,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,TÁXI AÉREO,APROXIMAÇÃO FINAL,TÁXI AÉREO,4.0,13,2012-11-06 21:30:00
201301297237475,ACIDENTE,PERDA DE CONTROLE EM VOO,ALEGRETE,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO AGRÍCOLA,1.0,5,2013-01-29 19:20:00
201303121097329,ACIDENTE,PERDA DE CONTROLE NO SOLO,ALEGRETE,RS,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,1,2013-03-12 18:40:00
201412231460105,ACIDENTE,PERDA DE CONTROLE NO SOLO,ALEGRETE,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,CORRIDA APÓS POUSO,OPERAÇÃO AGRÍCOLA,NaN,3,2014-12-23 20:00:00
201211086404523,ACIDENTE,FALHA DO MOTOR EM VOO,ALEGRETE,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,ESPECIALIZADA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,1,2012-11-08 11:00:00
201310053574855,ACIDENTE,PERDA DE CONTROLE EM VOO,ALEGRETE,RS,SSLT,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,DECOLAGEM,VOO EXPERIMENTAL,1.0,0,2013-10-05 21:00:00
201412188692894,ACIDENTE,PERDA DE CONTROLE EM VOO,ALEGRETE,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,RETA FINAL,OPERAÇÃO AGRÍCOLA,NaN,4,2014-12-18 19:00:00
201703161448225,ACIDENTE,PANE SECA,ALEGRETE,RS,SSLT,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2017-03-13 13:20:00
201012299461452,ACIDENTE,PERDA DE CONTROLE EM VOO,ALEGRETE,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,6,2010-12-29 10:35:00
201402063809812,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,ALEGRETE,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2014-02-06 13:00:00
201610131038082,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,ALEGRETE,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,1,2016-10-11 18:29:00
201211082905561,ACIDENTE,OUTROS,ALTÔNIA,PR,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2012-11-08 19:00:00
201609091218563,ACIDENTE,FALHA DO MOTOR EM VOO,ALTO PARANÁ,PR,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,SUBIDA,VOO EXPERIMENTAL,NaN,0,2016-09-01 14:30:00
